1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Neg,Pos,Pos,Pos,Pos,Pos,Neg,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Neg,Neg,Pos,Pos,Neg,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos
66323000.00,0.00,0.00,0.00,0.00,254790000.00,0.00,55324000.00,0.00,0.00,0.00,0.00,35003000.00,0.00,0.00,0.00,84213000.00,0.00,87454000.00,0.00,0.00,162830000.00,194970000.00,192380000.00,79273000.00,90021000.00,107000000.00,127800000.00,91141000.00,0.00,231750000.00,70144000.00,0.00,68469000.00,102400000.00,107890000.00,159100000.00,122840000.00,95841000.00,82914000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,97614000.00,0.00,62701000.00,252530000.00,0.00,0.00,0.00,0.00,0.00,0.00,157910000.00,57385000.00
1191900000.00,0.00,404400000.00,0.00,0.00,1436700000.00,1148600000.00,2047900000.00,1343800000.00,2071800000.00,875480000.00,124840000.00,1151600000.00,2272500000.00,659970000.00,782770000.00,3885500000.00,1051000000.00,806190000.00,756510000.00,1430100000.00,1807800000.00,1292700000.00,1247500000.00,1880200000.00,1077600000.00,2856200000.00,2005000000.00,1032100000.00,1058700000.00,1318600000.00,886590000.00,1715700000.00,1782000000.00,2464900000.00,1220300000.00,1560400000.00,2007700000.00,1005800000.00,1472800000.00,1625600000.00,585680000.00,397110000.00,1649900000.00,262450000.00,613290000.00,1821500000.00,737020000.00,2196100000.00,975660000.00,2103900000.00,0.00,225790000.00,0.00,0.00,1092300000.00,1640500000.00,1831100000.00,1045900000.00
806940000.00,0.00,0.00,0.00,273240000.00,498110000.00,252270000.00,368630000.00,605470000.00,395810000.00,376700000.00,382460000.00,383500000.00,561060000.00,611300000.00,1320800000.00,349700000.00,593100000.00,413070000.00,540770000.00,445390000.00,592640000.00,577390000.00,344640000.00,635040000.00,636920000.00,642580000.00,456760000.00,462760000.00,466800000.00,484410000.00,403720000.00,438060000.00,455890000.00,598210000.00,429890000.00,555410000.00,312510000.00,630190000.00,283690000.00,377000000.00,388880000.00,413180000.00,498620000.00,508000000.00,542440000.00,414670000.00,675450000.00,299900000.00,460220000.00,406970000.00,0.00,623870000.00,0.00,0.00,699450000.00,462650000.00,526080000.00,420510000.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19144000.00,0.00
108710000.00,0.00,0.00,0.00,0.00,0.00,118790000.00,0.00,0.00,0.00,128970000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,146040000.00,0.00,114690000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,131060000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,188180000.00,0.00,0.00,0.00,0.00,0.00,0.00
594420000.00,0.00,0.00,0.00,0.00,239060000.00,0.00,155200000.00,90065000.00,159410000.00,124120000.00,164430000.00,384590000.00,211830000.00,128960000.00,355650000.00,267730000.00,0.00,165170000.00,178380000.00,179570000.00,497430000.00,249380000.00,401790000.00,159190000.00,389680000.00,644880000.00,163450000.00,187280000.00,311520000.00,373480000.00,449830000.00,260080000.00,172420000.00,298060000.00,218490000.00,472810000.00,153800000.00,360820000.00,206680000.00,210010000.00,171230000.00,0.00,182500000.00,180090000.00,0.00,164120000.00,215880000.00,186290000.00,313230000.00,227120000.00,0.00,0.00,0.00,0.00,206830000.00,81167000.00,327390000.00,401390000.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,354270000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,24508000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
462030000.00,134350000.00,0.00,162850000.00,0.00,627020000.00,270900000.00,695790000.00,398730000.00,614950000.00,261730000.00,158930000.00,435730000.00,345070000.00,277470000.00,576670000.00,588260000.00,277160000.00,265000000.00,186250000.00,597700000.00,577440000.00,916880000.00,659090000.00,728530000.00,164020000.00,576720000.00,488910000.00,544560000.00,849240000.00,380690000.00,542250000.00,317240000.00,331790000.00,1409100000.00,434830000.00,415580000.00,493310000.00,548260000.00,487330000.00,335870000.00,0.00,183430000.00,394310000.00,0.00,71906000.00,142990000.00,160260000.00,925440000.00,617820000.00,431380000.00,0.00,95345000.00,263050000.00,96172000.00,2951100000.00,292780000.00,605590000.00,414090000.00
